filename;value
1.jpg;11
2.jpg;146
3.jpg;123
4.jpg;140
5.jpg;14
6.jpg;75800
7.jpg;11.5
8.jpg;114
9.jpg;14.1
10.jpg;74
11.jpg;11
12.jpg;115
13.jpg;110
14.jpg;119
15.jpg;105
16.jpg;209
17.jpg;14
18.jpg;18.4
19.jpg;147
20.jpg;66
21.jpg;6.400
22.jpg;12
23.jpg;67
24.jpg;65
25.jpg;14
26.jpg;78
27.jpg;33
28.jpg;98
29.jpg;61
30.jpg;12
31.jpg;11.800
32.jpg;5.6
33.jpg;156
34.jpg;6
35.jpg;130
36.jpg;133
37.jpg;200
38.jpg;260
39.jpg;69
40.jpg;26
41.jpg;13
42.jpg;77
43.jpg;8.20
44.jpg;12
45.jpg;40
46.jpg;110
47.jpg;8
48.jpg;1.13
49.jpg;75
50.jpg;78
51.jpg;131
52.jpg;148
53.jpg;27.5
54.jpg;65
55.jpg;62
56.jpg;12.5
57.jpg;1.16
58.jpg;152
59.jpg;12
60.jpg;78
61.jpg;12
62.jpg;94
63.jpg;10
64.jpg;6
65.jpg;1.02
66.jpg;69
67.jpg;12.5
68.jpg;70
69.jpg;17
70.jpg;67
71.jpg;13
72.jpg;49
73.jpg;12
74.jpg;5.6
75.jpg;152
76.jpg;110
77.jpg;71
78.jpg;5.600
79.jpg;139
80.jpg;11
81.jpg;11
82.jpg;97
83.jpg;5
84.jpg;23
85.jpg;12
86.jpg;118
87.jpg;7
88.jpg;5.600
89.jpg;83
90.jpg;7.100
91.jpg;66
92.jpg;15
93.jpg;19.5
94.jpg;7
95.jpg;69
96.jpg;11
97.jpg;80.2
98.jpg;1.48
99.jpg;78
100.jpg;1.58
101.jpg;29
102.jpg;7.850
103.jpg;35
104.jpg;12.900
105.jpg;157
106.jpg;137
107.jpg;13.5
108.jpg;6.500
109.jpg;14
110.jpg;6.700
111.jpg;130
112.jpg;9.800
113.jpg;66
114.jpg;76
115.jpg;5.500
116.jpg;6.4
117.jpg;14.6
118.jpg;14.4
119.jpg;53
120.jpg;82
121.jpg;69
122.jpg;12.5
123.jpg;12
124.jpg;96
125.jpg;108.5
126.jpg;1.10
127.jpg;16.800
128.jpg;79
129.jpg;220
130.jpg;135
131.jpg;7.500
132.jpg;87
133.jpg;7.7
134.jpg;75
135.jpg;15
136.jpg;124
137.jpg;12
138.jpg;5.400
139.jpg;14.5
140.jpg;5.400
141.jpg;10
142.jpg;65
143.jpg;152
144.jpg;97
145.jpg;100
146.jpg;5.10
147.jpg;12.5
148.jpg;49
149.jpg;16
150.jpg;6.500
151.jpg;143
152.jpg;92
153.jpg;13
154.jpg;86
155.jpg;153
156.jpg;6
157.jpg;9
158.jpg;1.49
159.jpg;154
160.jpg;11
161.jpg;14.8
162.jpg;6.100
163.jpg;16
164.jpg;11
165.jpg;11
166.jpg;73
167.jpg;12
168.jpg;199
169.jpg;11
170.jpg;114
171.jpg;67
172.jpg;23.3
173.jpg;140
174.jpg;90
175.jpg;78
176.jpg;11
177.jpg;11.8
178.jpg;13200
179.jpg;1.03
180.jpg;88
181.jpg;60
182.jpg;16.1
183.jpg;12.5
184.jpg;188
185.jpg;12.5
186.jpg;65
187.jpg;71
188.jpg;75
189.jpg;-54
190.jpg;10.9
191.jpg;15.8
192.jpg;138
193.jpg;112
194.jpg;84
195.jpg;10.4
196.jpg;10
197.jpg;66.5
198.jpg;151
199.jpg;21
200.jpg;53
201.jpg;75
202.jpg;63
203.jpg;112
204.jpg;9
205.jpg;73
206.jpg;1.02
207.jpg;12.5
208.jpg;11.9
209.jpg;19
210.jpg;44.70
211.jpg;89
212.jpg;19200
213.jpg;106
214.jpg;111
215.jpg;5
216.jpg;57
217.jpg;147
218.jpg;79
219.jpg;10
220.jpg;12
221.jpg;6.500
222.jpg;98
223.jpg;11.5
224.jpg;39
225.jpg;79
226.jpg;62
227.jpg;18.6
228.jpg;63
229.jpg;1.02
230.jpg;11.1
231.jpg;8
232.jpg;122
233.jpg;153
234.jpg;87
235.jpg;122
236.jpg;95
237.jpg;98
238.jpg;210
239.jpg;80
240.jpg;13
241.jpg;13
242.jpg;59
243.jpg;11
244.jpg;13
245.jpg;69
246.jpg;114
247.jpg;8.400
248.jpg;11
249.jpg;122
250.jpg;1.67
251.jpg;109
252.jpg;11
253.jpg;10
254.jpg;12
255.jpg;132
256.jpg;11.5
257.jpg;46
258.jpg;80
259.jpg;137
260.jpg;12
261.jpg;85
262.jpg;122
263.jpg;20
264.jpg;4.308
265.jpg;10
266.jpg;116
267.jpg;14
268.jpg;13
269.jpg;12.300
270.jpg;158
271.jpg;1.50
272.jpg;7.800
273.jpg;22.4
274.jpg;16.1
275.jpg;18.4
276.jpg;8.7
277.jpg;11
278.jpg;70
279.jpg;10800
280.jpg;240
281.jpg;8.100
282.jpg;77
283.jpg;136
284.jpg;6.600
285.jpg;14
286.jpg;47
287.jpg;20
288.jpg;7.200
289.jpg;12
290.jpg;12
291.jpg;95.6
292.jpg;14
293.jpg;10
294.jpg;99
295.jpg;13
296.jpg;195
297.jpg;98
298.jpg;5.800
299.jpg;12.5
300.jpg;128
301.jpg;88
302.jpg;1.58
303.jpg;76
304.jpg;20
305.jpg;39.700
306.jpg;50
307.jpg;130
308.jpg;6.800
309.jpg;7
310.jpg;14
311.jpg;123
312.jpg;135
313.jpg;212
314.jpg;1.00
315.jpg;72.3
316.jpg;82
317.jpg;99
318.jpg;1.32
319.jpg;16.2
320.jpg;71
321.jpg;14.5
322.jpg;15.2
323.jpg;210
324.jpg;112
325.jpg;12
326.jpg;6.700
327.jpg;16.90
328.jpg;200
329.jpg;87
330.jpg;2.05
331.jpg;61
332.jpg;118
333.jpg;41
334.jpg;6.200
335.jpg;85
336.jpg;30
337.jpg;13.5
338.jpg;125
339.jpg;25
340.jpg;14.9
341.jpg;110
342.jpg;22.5
343.jpg;78
344.jpg;15.3
345.jpg;11.2
346.jpg;53
347.jpg;13
348.jpg;11
349.jpg;62
350.jpg;6.6
351.jpg;9.8
352.jpg;90
353.jpg;54
354.jpg;61
355.jpg;-53
356.jpg;123
357.jpg;18.2
358.jpg;15.5
359.jpg;85
360.jpg;8.700
361.jpg;39.700
362.jpg;12
363.jpg;5.7
364.jpg;19
365.jpg;13.300
366.jpg;7.200
367.jpg;72
368.jpg;69
369.jpg;95
370.jpg;147
371.jpg;13.1
372.jpg;14.200
373.jpg;210
374.jpg;1.6
375.jpg;4.4
376.jpg;115
377.jpg;137
378.jpg;14
379.jpg;13
380.jpg;75
381.jpg;70.5
382.jpg;-59
383.jpg;90
384.jpg;92
385.jpg;13.6
386.jpg;75
387.jpg;18
388.jpg;153
389.jpg;57
390.jpg;72
391.jpg;68
392.jpg;133
393.jpg;73
394.jpg;53
395.jpg;74
396.jpg;14.9
397.jpg;69
398.jpg;63
399.jpg;155
400.jpg;36
401.jpg;80
402.jpg;12
403.jpg;90
404.jpg;6.600
405.jpg;43
406.jpg;90
407.jpg;135
408.jpg;133
409.jpg;76
410.jpg;18.2
411.jpg;10.3
412.jpg;91
413.jpg;110
414.jpg;92.99
415.jpg;104
416.jpg;76
417.jpg;77
418.jpg;125
419.jpg;1.50
420.jpg;89
421.jpg;16.8
422.jpg;70
423.jpg;18.2
424.jpg;135
425.jpg;210
426.jpg;10
427.jpg;71
428.jpg;11
429.jpg;10
430.jpg;36
431.jpg;104.5
432.jpg;195
433.jpg;150.6
434.jpg;13
435.jpg;8300
436.jpg;27
437.jpg;25
438.jpg;12.9
439.jpg;12
440.jpg;11
441.jpg;83
442.jpg;13.8
443.jpg;18.6
444.jpg;13700
445.jpg;114
446.jpg;6.500
447.jpg;67
448.jpg;10.5
449.jpg;22
450.jpg;9.700
451.jpg;13
452.jpg;124
453.jpg;13.1
454.jpg;180
455.jpg;8
456.jpg;11.5
457.jpg;4
458.jpg;108
459.jpg;13.1
460.jpg;60
461.jpg;138
462.jpg;189
463.jpg;11
464.jpg;1.58
465.jpg;9.6
466.jpg;116.58
467.jpg;14
468.jpg;189
469.jpg;7.8
470.jpg;14
471.jpg;17
472.jpg;13.600
473.jpg;8
474.jpg;42
475.jpg;07
476.jpg;140
477.jpg;14
478.jpg;105
479.jpg;5.400
480.jpg;182
481.jpg;11
482.jpg;130
483.jpg;15
484.jpg;7
485.jpg;11
486.jpg;53
487.jpg;134
488.jpg;2
489.jpg;18
490.jpg;15
491.jpg;102
492.jpg;1.33
493.jpg;148
494.jpg;62
495.jpg;11
496.jpg;184
497.jpg;63
498.jpg;14.6
499.jpg;12
500.jpg;6.4
501.jpg;50
502.jpg;105
503.jpg;12
504.jpg;210
505.jpg;7
506.jpg;151
507.jpg;7.300
508.jpg;39
509.jpg;1.55
510.jpg;47
511.jpg;63
512.jpg;13
513.jpg;16.1
514.jpg;1.09
515.jpg;4.300
516.jpg;1.13
517.jpg;18.500
518.jpg;10
519.jpg;80
520.jpg;8.4
521.jpg;44
522.jpg;29
