filename;value
1.jpg;97
2.jpg;18
3.jpg;56
4.jpg;10,200
5.jpg;9
6.jpg;86
7.jpg;11900
8.jpg;74
9.jpg;1,20
10.jpg;87
11.jpg;96
12.jpg;12
13.jpg;7
14.jpg;12
15.jpg;12.1
16.jpg;104
17.jpg;1,09
18.jpg;88
19.jpg;12.1
20.jpg;245
21.jpg;108
22.jpg;12
23.jpg;5,3
24.jpg;11
25.jpg;11
26.jpg;12
27.jpg;12
28.jpg;11
29.jpg;59
30.jpg;14.7
31.jpg;96
32.jpg;8,800
33.jpg;11.400
34.jpg;72
35.jpg;55,00
36.jpg;7,100
37.jpg;12.3
38.jpg;13,400
39.jpg;6,400
40.jpg;12
41.jpg;87
42.jpg;15
43.jpg;55
44.jpg;79
45.jpg;-95
46.jpg;86
47.jpg;13
48.jpg;132
49.jpg;11.5
50.jpg;12
51.jpg;109.2
52.jpg;88
53.jpg;20
54.jpg;57
55.jpg;49
56.jpg;11,5
57.jpg;71
58.jpg;83
59.jpg;66
60.jpg;14,7
61.jpg;64
62.jpg;139
63.jpg;7,600
64.jpg;11
65.jpg;4,400
66.jpg;68
67.jpg;48.5
68.jpg;150
69.jpg;154
70.jpg;113
71.jpg;13
72.jpg;8
73.jpg;4,200
74.jpg;11
75.jpg;9
76.jpg;87
77.jpg;10.2
78.jpg;26.2
79.jpg;12,5
80.jpg;11
81.jpg;7570
82.jpg;103
83.jpg;1,28
84.jpg;13
85.jpg;122
86.jpg;140
87.jpg;13
88.jpg;65
89.jpg;10
90.jpg;4,900
91.jpg;105
92.jpg;18,4
93.jpg;44
94.jpg;147
95.jpg;13
96.jpg;15
97.jpg;1,24
98.jpg;67
99.jpg;-40.54
100.jpg;-16.391
101.jpg;71
102.jpg;101
103.jpg;11
104.jpg;13,300
105.jpg;148
106.jpg;84
107.jpg;12,7
108.jpg;67
109.jpg;11
110.jpg;225
111.jpg;10
112.jpg;125
113.jpg;151
114.jpg;1,48
115.jpg;11
116.jpg;12
117.jpg;142
118.jpg;13
119.jpg;65
120.jpg;102
121.jpg;34
122.jpg;11
123.jpg;12
124.jpg;14
125.jpg;240
126.jpg;12
127.jpg;4,400
128.jpg;103
129.jpg;27
130.jpg;213
131.jpg;13
132.jpg;22
133.jpg;17500
134.jpg;19.6
135.jpg;10.6
136.jpg;130
137.jpg;106
138.jpg;18.5
139.jpg;132
140.jpg;91
141.jpg;66
142.jpg;63
143.jpg;53
144.jpg;12
145.jpg;65,5
146.jpg;18200
147.jpg;102
148.jpg;199
149.jpg;105
150.jpg;12.5
151.jpg;10
152.jpg;12
153.jpg;44
154.jpg;71
